Application,Attributes,Automatic,Brand Name,Brooches Type,Buttom Base,Capacity,Category,Certifications,Closure,Coating,Coating Side,Color,Company Name,Computerized,Condition,Control Mode,Control System,Currency,Customization,Customized,Decoration Material,Delivery Time,Design,Diameter,Dimension (L*W*H),Dimension(L*W*H),Drawing,Dress Type,Ethnic Region,FOB Port,Fabric Type,Feature,Features,Foundation,Frequency,GSTIN,Gender,Gender/Age Group,General Use,Grade,Heat Resistance,Height,Industrial Use,Installation Type,Jewelry Main Material,Jewelry Type,Length,Logo,Logo Pattern,MRP,Main Domestic Market,Main Export Market(s),Material,Metals Type,Minimum Order Quantity,Minimum Ordered Packs,Mop,Moq,Mounting Type,Noise Level,Occasion,Packaging Details,Packsize,Pattern,Pattern Type,Payment Terms,Phase,Pkg Box Breadth,Pkg Box Height,Pkg Box Length,Plastic Type,Plating,Power,Price,Price Type,Processing,Product Link,Product Name,Product Type,Product Unit,QC System,Returnable,Sample Available,Sample Policy,Sealing and Handle,Season,Shape,Shipping Type,Size,Sleeve Style,Stock Quantity,Storage / Tankless,Style,Supply Ability,Surface Finishing,Surface Materials,Surface Treatment,Technics,Temperature,Temperature Resistance,Tensile Strength,Texture,Thickness,Tightness,Tolerance,Touch Screen,Transparency,Type,Unit Type,Usage,Usage & Applications,Use,Vehicle Type,Voltage,Volume (L),Wall Thickness,Warranty,Weight,Weight (kg),Width,Work Type
Industrial,,,,,,50000 Ltr,Water Storage Tanks,,,,,Green,JRMS ENGINEERING WORKS,,NEW,,,,,,,7 Days,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/industrial-water-storage-tank-c10285326.html,Industrial Water Storage Tank - Capacity: 50000 Ltr,Industrial Water Storage Tank,,,,,,,,,,Standard,,,,,100 Per Month,,,,,,,,,,,,,,,,Industrial,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,CAMPUS POLY PLAST PVT. LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/triple-layer-water-storage-tank-1943447.html,"Triple Layer Water Storage Tank - Anti-Corrosive Material, Strict Quality Control | Durable Performance and Long-Lasting Reliability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,KAVERI PLASTO CONTAINER PVT. LTD.,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,Multigrade,,,,,,,,,,,South India,,Plastic,,,,,,,,,,,,,Cash in Advance (CID),,,,,PVC,,,,,,https://www.tradeindia.com/products/domestic-water-storage-tank-c9555658.html,Domestic Water Storage Tank - Grade: Multigrade,,,,,,,,,Cylindrical,,,,,,,1000 Per Month,,,,,,,,,,,,,,,,,,,,,500 to 5000 Liter (L),,,,,,
,,,SRI KAMATCHI TRADERS,,,,Water Storage Tanks,,,,,Blue,SRI KAMATCHI TRADERS,,,,,INR,,,,7 Days,,,,,,,,,,,,,,0%,,,,Industrial,,,,,,,,,,,,,Metal,Color Steel,1,1,1,1,,,,,1,,,,,,,,,,,150000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/underground-water-storage-tanks-sumps-c10397337.html,Underground Water Storage Tanks Sumps - Color: Blue,,1 Piece/Pieces,,No,,,,,Square,,Standard,,5,,,10 Per Week,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,White,CHOUDHARY TANK AGENCY,,,,,,,,,10 Days,,1105 Millimeter (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Metal,,,,,,,,,,,,,Cash in Advance (CID),,,,,HDPE,,,,,,https://www.tradeindia.com/products/5000-ltr-hdpe-water-storage-tank-c10196223.html,5000 Ltr Hdpe Water Storage Tank - Color: White,,,,,,,,,Other Vertical- Round,,407mm,,,,,5000 Per Month,,Powder Coating,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,T M COMPONENTS,,,,,,,,,2 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/4-layer-blow-moulded-water-storage-tank-c6128030.html,4 Layer Blow Moulded Water Storage Tank,,,,,,,,,,,,,,,,50 Per Week,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Silver,SHRAJ MACHINERY,,NEW,,,INR,,,,7 Days,,,,,,,,,,,,,,0%,,,,Industrial,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,280000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c10600410.html,Stainless Steel Water Storage Tank - Color: Silver,Stainless Steel Water Storage Tank,1 Unit/Units,,No,,,,,,,Standard,,10,,,100 Per Month,,,,,,,,,,,,,,,Unit/Units,Industrial,,,,,,,,,,,
,,,PRIMA,,1100 mm Dia,,Water Storage Tanks,FDA Approved,,,,White,PRIMA PLASTICS LTD.,,,,,INR,,,,10 Days,,1100 mm Millimeter (mm),,,,,,NA,,,,NA,,0%,,,,NA,,,,,,,,,,,Madhya Pradesh Maharashtra Punjab Gujarat Uttar Pradesh West India Rajasthan,Asia North America,Plastic,,2,2,2,2,,,,,1,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,,LLDPE,,,6500.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/water-storage-tank-c9624935.html,Water Storage Tank 1000 Ltrs,,2 Number,,No,Yes,Contact us for information regarding our sample policy,,,Cylindrical,,1100mm Dia x 1310mm H x 400mm Manhole,,20,,,50 Per Week,,Virgin Plastic,,,,,NA,,NA Millimeter (mm),,,,,,Number,,,,,,1000 Liter (L),,,,,,
Residential buildings commercial complexes hospitals schools industries,,,LGS Projects Pvt Ltd,,,10000 Approx Ltr,Water Storage Tanks,,,,,Silver,LGS PROJECTS PRIVATE LIMITED,,,,,INR,,,,30-45 Days,,,,,,,,Greater Noida,,,Food-grade safe rust- and algae-resistant hygienic UV-resistant,,,0%,,,,,,,,,,,,,,2.36 INR,All India,,Steel,,1,1,1,1,"Other Above Ground aEUR"" On Concrete",,,,1,,,,,0.00 Inches,0.00 Inches,0.00 Inches,,,,10000000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/drinking-water-storage-tank-c10442058.html,Drinking Water Storage Tank - Application: Residential Buildings,Water Storage Tank,1 Liter/Liters,,No,No,Contact us for information regarding our sample policy,,,Cylindrical,actual,,,5,,,5 Per Year,,,,,,0AdegC to 70AdegC,,,,,,,,,Liter/Liters,Storage of potable/drinking water,,,,,,"1.5 aEUR"" 2.5 mm Millimeter (mm)",,3000.00 Kilograms (KG),,,
,,,,,,,Water Storage Tanks,,,,,White,SHRAVANI INDUSTRIES,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Plastic,,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/white-plastic-water-storage-tank-c10604468.html,Loft Water Storage Tank - Color: White,,,,,,,,,Other Rectangular,,,,,,,100 Per Month,,Plastic,,,,,,,,,,,,,,,,,,,500 1000 etc Liter (L),,,,,,
,,,,,,,Water Storage Tanks,,,,,As Per Requirement,VIGNESH INDUSTRIES PRIVATE LIMITED,,NEW,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,Normal,https://www.tradeindia.com/products/sintex-underground-water-storage-tank-c10223924.html,"Sintex Underground Water Storage Tank - Durable Material, Various Sizes Available, Customizable Color Options | Ideal for Industrial Use, Easy to Install",,,,,,,,,,,Different available,,,,,100 Per Month,,,,,,,,,,,,,,,,Industrial,,,,,,,,,,,
,,Yes,,,,As per the client required Ton/day,Water Storage Tanks,ISO and CE Certified,,,,Stainless Steel finished,SHREE BHAGWATI MACHTECH (I) PVT. LTD.,Yes,,,PLC Control,,,,,4 - 6 Week,,,,In inches Inch (in),2D,,,India,,Simple Control Stable Operation High Performance ECO Friendly Low Noise Lower Energy Consumption High Efficiency,,,,,,,For water storage,,,,,,,,,,,,All India,Asia Australia Central America North America South America Eastern Europe Western Europe Middle East Africa,Stainless Steel Alloy,,,,,,,,,Wooden packing only,,,,,,,,,,,,,,,https://www.tradeindia.com/products/15kw-stainless-steel-water-storage-tank-for-liquid-water-production-line-c5317102.html,15Kw Stainless Steel Water Storage Tank For Liquid Water Production Line Capacity: As Per The Client Required Ton/Day,Stainless Steel Water Storage Tank,,For inspection purpose,,Yes,Contact us for information regarding our sample policy,,,,,,,,,,,,,Other,,,,,,,,,Yes,,Other,,,,,,,,,1 year,,In kgs Kilograms (kg),,
,,,,,,,Water Storage Tanks,,,,,Yellow Black & White,OSWAL HITECH PVT. LTD.,,,,,,,,,4-5 Days,,,,,,,,,,,,,,,,,,Food & UV,,,,,,,,,,,Karnataka,,Plastic,,,,,,,,,,,,,,,,,,LLDPE,,,,,,https://www.tradeindia.com/products/3000-ltr-plastic-water-storage-tanks-c6913101.html,"Plastic Water Storage Tanks By Hitank - LLDPE, 3000 & 5000 Litres | Food & UV Grade, Cylindrical Shape, BPA-Free Polyethylene",,,,,Yes,Sample costs shipping and taxes has to be paid by the buyer,,,Cylindrical,,3000 & 5000 Litres,,,,,100 Per Week,,Plastic,,,,,,,10 Millimeter (mm),,,,,,,,,,,,3000 & 5000 Liter (L),,,,,,
,,,,,,,Water Storage Tanks,,,,,,VARUNA,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/concrete-water-storage-tank-c10151998.html,Concrete Water Storage Tank,,,,,,,,,,,,,,,,5000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,TMT POLYMERS INDIA PVT LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/water-tanks-3977727.html,Leak Free TMT Water Tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,SHAMA GLOBAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/boiler-coil-8845119.html,"Boiler Coil, Boiler Type: Water Tube",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
